Country,GHI,DNI,DHI
Benin,227.9,96.4,188.3
Benin,891.0,668.2,261.9
Benin,1039.0,665.6,368.7
Benin,10.8,-0.2,10.6
Benin,601.5,558.5,226.7
Benin,118.2,113.5,92.2
Benin,381.0,1.0,379.1
Benin,983.0,785.2,210.7
Benin,784.3,653.5,265.5
Benin,254.1,194.5,178.7
Benin,964.0,846.0,197.3
Benin,1.8,-0.5,1.8
Benin,130.2,0.5,129.4
Benin,27.7,-0.1,27.6
Benin,383.4,176.4,296.6
Benin,228.1,0.7,226.4
Benin,591.5,788.3,119.4
Benin,535.9,536.7,225.1
Benin,1157.0,614.7,532.8
Benin,210.2,1.8,207.5
Benin,13.5,0.0,12.1
Benin,632.2,536.3,253.6
Benin,778.5,569.2,300.0
Benin,681.1,752.6,151.9
Benin,905.0,875.0,152.1
Benin,535.3,174.7,402.4
Benin,522.1,126.7,430.7
Benin,107.2,32.0,95.5
Benin,184.2,0.4,183.0
Benin,740.9,693.0,196.9
Benin,98.1,113.2,76.9
Benin,6.2,-0.2,6.2
Benin,26.3,36.5,23.7
Benin,374.9,548.5,132.3
Benin,886.0,614.5,324.6
Benin,202.8,170.7,146.0
Benin,353.4,566.4,128.0
Benin,396.4,8.8,387.6
Benin,1034.0,593.9,454.8
Benin,362.1,416.4,164.9
Benin,874.0,624.6,268.5
Benin,402.9,529.2,193.2
Benin,4.8,-2.1,5.3
Benin,139.4,10.9,136.6
Benin,397.3,581.2,116.7
Benin,477.2,8.3,466.4
Benin,932.0,429.6,498.0
Benin,546.8,437.7,265.8
Benin,958.0,559.7,390.0
Benin,331.5,526.9,127.8
Benin,191.5,454.4,83.6
Benin,670.9,549.9,247.9
Benin,500.1,712.1,115.4
Benin,244.6,230.5,147.2
Benin,164.0,0.3,162.9
Benin,439.0,624.2,133.8
Benin,479.9,103.6,406.7
Benin,113.8,106.0,94.6
Benin,862.0,800.6,189.9
Benin,869.0,646.1,308.6
Benin,905.0,618.4,380.7
Benin,865.0,816.6,186.8
Benin,738.8,703.9,237.2
Benin,605.9,535.8,243.0
Benin,550.1,432.9,276.5
Benin,686.1,180.4,503.2
Benin,70.1,99.5,54.4
Benin,305.3,327.8,174.4
Benin,286.0,15.8,275.7
Benin,394.1,590.8,128.4
Benin,958.0,865.0,146.1
Benin,701.3,397.3,375.4
Benin,840.0,736.5,193.8
Benin,812.0,674.1,251.4
Benin,49.9,47.3,44.3
Benin,762.2,388.7,453.2
Benin,346.9,1.2,342.6
Benin,741.9,786.7,182.8
Benin,250.1,0.9,247.8
Benin,169.5,7.1,165.5
Benin,838.0,492.4,374.9
Benin,282.5,1.7,280.3
Benin,927.0,639.1,299.3
Benin,412.0,628.7,121.4
Benin,262.4,137.5,196.5
Benin,447.5,589.9,148.7
Benin,497.6,305.0,300.6
Benin,544.5,430.5,242.9
Benin,199.5,350.7,101.6
Benin,249.9,272.3,155.7
Benin,1025.0,643.2,370.7
Benin,46.3,63.5,40.3
Benin,363.0,27.3,342.4
Benin,156.2,392.8,69.3
Benin,766.5,637.1,255.9
Benin,554.1,619.7,173.6
Benin,230.3,92.6,194.1
Benin,949.0,646.3,317.8
Benin,130.4,139.9,85.4
Benin,705.1,625.9,219.6
Benin,739.8,455.5,372.2
Benin,944.0,512.6,454.8
Benin,252.6,5.1,248.6
Benin,366.9,278.5,217.0
Benin,737.6,197.9,537.5
Benin,387.9,1.6,384.0
Benin,404.5,452.9,182.0
Benin,664.9,642.6,206.1
Benin,766.8,771.3,157.9
Benin,913.0,760.9,191.0
Benin,394.9,301.7,239.2
Benin,630.3,564.1,231.4
Benin,717.0,506.9,337.6
Benin,811.0,736.3,206.5
Benin,78.2,126.0,57.1
Benin,66.3,57.5,56.8
Benin,348.1,124.3,280.3
Benin,881.0,688.7,240.3
Benin,809.0,873.0,101.0
Benin,973.0,395.6,561.8
Benin,167.2,335.0,83.5
Benin,43.9,-0.1,43.7
Benin,265.7,2.2,260.8
Benin,20.0,18.6,17.3
Benin,40.9,4.5,44.4
Benin,848.0,811.0,183.8
Benin,692.9,552.8,287.1
Benin,1004.0,808.4,216.9
Benin,964.0,732.8,237.8
Benin,314.9,1.5,309.8
Benin,119.8,129.8,86.6
Benin,989.0,749.0,265.2
Benin,640.9,546.8,249.4
Benin,13.4,5.7,12.1
Benin,57.0,80.1,47.3
Benin,80.3,0.2,76.9
Benin,161.1,126.0,123.8
Benin,874.0,571.3,299.3
Benin,1006.0,724.2,266.4
Benin,241.7,25.3,227.0
Benin,817.0,652.1,285.0
Benin,1011.0,745.5,268.6
Benin,551.5,661.3,166.8
Benin,954.0,835.4,199.0
Benin,22.8,3.6,22.1
Benin,140.9,0.4,140.0
Benin,19.0,-0.5,16.0
Benin,72.5,0.1,72.2
Benin,922.0,571.2,363.3
Benin,6.8,-0.2,6.5
Benin,678.6,572.4,244.9
Benin,180.9,243.8,111.7
Benin,359.8,2.6,356.4
Benin,43.0,-0.3,42.6
Benin,913.0,735.2,229.7
Benin,892.0,677.2,249.8
Benin,807.0,709.6,240.0
Benin,156.4,0.7,155.2
Benin,458.2,704.3,112.2
Benin,488.5,17.0,469.1
Benin,776.1,701.6,205.8
Benin,1024.0,578.1,429.5
Benin,666.2,111.0,561.0
Benin,698.2,439.6,350.0
Benin,786.6,290.2,519.6
Benin,484.4,774.3,94.1
Benin,223.6,0.1,221.5
Benin,936.0,540.7,414.3
Benin,264.1,0.9,262.8
Benin,457.5,21.7,434.3
Benin,945.0,653.2,307.6
Benin,990.0,844.0,146.1
Benin,458.7,49.9,414.6
